MonA,MonB,Eg,HER HMT
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Oc1cc(Br)nc(Br)c1,2.63,346.9
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Nc1c(Br)cnc(Cl)c1Br,2.45,6038.3
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1cnc(Br)cn1,2.49,265.5
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1cnc(Br)nc1,2.47,813.2
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Nc1nc(Br)cnc1Br,1.86,314.5
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,CN1C=C(Br)N=C(C1=O)Br,2.28,242.9
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1ccc(Br)c2nccnc12,2.43,23.5
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,C1=CC2=CC(=CN=C2C3=C1C=C(C=N3)Br)Br,2.52,0
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc2ccc(c1ccc(Br)cn1)nc2,2.65,380.7
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc2cccc(c1cccc(Br)n1)n2,2.53,578.4
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc2ccnc(c1cc(Br)ccn1)c2,2.7,82.5
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,N#CC(C#N)=c2c1cc(Br)ccc1c3ccc(Br)cc23,1.95,0
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1ccc3c(c1)Cc2cc(Br)ccc23,2.46,8390.1
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1ccc3c(c1)[nH]c2cc(Br)ccc23,2.45,5288.4
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc3ccc2[nH]c1ccc(Br)cc1c2c3,2.17,83.6
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1ccc3c(c1)sc2cc(Br)ccc23,2.55,8461.6
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,O=S3(=O)c1cc(Br)ccc1c2ccc(Br)cc23,2.51,3443.2
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,O=S3(=O)c1ccc(Br)cc1c2cc(Br)ccc23,2.71,1835.6
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,CCn3c1ccc(Br)cc1c2cc(Br)ccc23,2.13,349.5
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,O=c2c1cc(Br)ccc1c3ccc(Br)cc23,2.14,1854.1
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1cscc1Br,2.41,672.1
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1ccc(Br)s1,2.14,2090.6
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1ccc(Br)o1,2.15,2691
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,O=S1(=O)C(Br)=CC=C1Br,3.06,152.7
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc2ccc(c1ccc(Br)s1)s2,1.99,669.2
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc3ccc(c2ccc(c1ccc(Br)s1)s2)s3,1.94,164
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,C1=C2C(=CC3=C1C=C(Br)S3)C=C(Br)S2,2.18,2390.4
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,O=N(=O)c1cc(Br)ccc1Br,2.58,0
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,N#Cc1cc(Br)cc(Br)c1O,2.51,153.1
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Nc1cc(Br)c(F)cc1Br,2.33,1459.4
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,COC(=O)C1=C(C=C(C(=N1)N)Br)Br,ND,52.6
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,C1=C2CC(=O)NC2=C(C=C1Br)Br,2.32,2327.7
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,C1=CC(=C(C=C1Br)Br)OCC(=O)NN,2.65,277.7
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,CC(Oc1ccc(Br)cc1Br)C(=O)NN,2.75,215.7
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,NNC(=O)c1cc(Br)c(O)c(Br)c1,2.6,0
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,COc1c(Br)cc(C(=N)NO)cc1Br,2.52,217.6
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,CCn2c(=O)c(=O)c1cc(Br)cc(Br)c12,1.61,88.4
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,O=c2[nH]c1c(Br)cc(Br)cc1c2=O,ND,0
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,[CH-]1C=C(Br)C=C1.[CH-]1C=C(Br)C=C1.[Fe+2],2.91,19.1
,,2.16,269.7
,,2.12,194.6
,,2.19,379.3
,,2.15,208.3
,,2.22,352.4
,,2.02,1049.9
,,2.36,2546
,,2.31,536.9
,,2.38,985.4
,,2.31,876.6
,,2.38,1168.3
,,2.17,308.4
,,2.01,138.5
,,2.18,1045
,,2.11,457.2
,,2.04,36.8
,,2.14,885.5
,,2.19,326.3
,,2.6,99.3
,,2.64,755.4
,,2.59,1041.3
,,2.61,201.4
,,2.54,7211.1
,,2.76,52.6
,,2.65,592.5
,,2.46,782.9
,,2.67,417.1
,,2.66,518.2
,,2.49,1061.9
,,2.82,2502
,,2.87,2504.9
,,2.74,928.8
,,2.72,3996.3
,,2.76,9828.6
,,2.69,8763.1
,,2.78,59.6
,,2.37,2951.3
,,2.23,295.9
,,2.15,45.3
,,2.09,196.6
,,2.32,1258.8
,,2.34,1483.3
,,2.36,243.2
,,2.65,108.9
,,2.59,32.7
,,2.75,410.8
,,2.23,35.2
,,ND,64.9
,,2.71,0
,,2.62,25.9
,,2.62,1637.5
,,2.61,0
,,1.81,0
,,2.38,0
,,1.84,0
,,2.74,0
,,2.7,30.4
,,2.5,33.6
,,2.93,26.4
,,2.15,64.5
,,2.16,24.3
,,2.46,23.9
,,2.96,0
,,ND,0
,,2.89,3604.8
,,1.93,18.4
,,2.83,0
,,2.06,52.4
